id,content,nickname,score,days,creationTime,productColor,productSize
14015591365,首发晚付尾款第二天中午就收到了，手机外观非常漂亮，零度白女生用颜色很好看，操作流畅，拍照随便拍拍有大片的效果，有送手机壳，非常满意?,wangjspc,5,13,2020-04-09 21:24:34,零度白,8GB+256GB
14016740000,"外形外观：售当晚直播买的到货了。我还是喜欢冰霜银，有种低调的奢华，雾面的质感，从不同角度折射出不同的光影。?
拍照效果：拍照效果没话说，主摄大底，长焦防抖，RYYB排列，夜拍优秀，可惜错过了超级月亮。
屏幕音效：四面溢水屏，真心不错，手感很好，胶囊开口没想象中那么难看，毕竟是要为前摄强大性能作出的牺牲。",s***2,5,2,2020-04-10 09:54:01,冰霜银,8GB+256GB
14015364946,"外形外观：第一次用华为手机，P系列确实漂亮，后盖特别美，零度白，很梦幻
拍照效果：拍照正在测试，很喜欢超慢动作
运行速度：速度挺快的，动画的顺滑度和苹果不一样，慢慢适应
屏幕音效：够用吧，肯定比不了双扬声器
待机时间：刚充满电，还没用太久
其他特色：很喜欢待机时候的那个灭屏显示，苹果没有的功能，细节很好",冲帅哥,5,13,2020-04-09 20:26:37,零度白,8GB+256GB
14021815478,"外形外观：挺修身，苗条身材
屏幕音效：效果非常好
拍照效果：远处景色拉近后非常清晰，画质清晰
运行速度：光速飞行
待机时间：待定
其他特色：手感细腻光滑，握感很强，真心不错的选择",东***爱,5,1,2020-04-11 15:05:35,亮黑色,8GB+256GB
14016524834,"外形外观：还是很不错的，这个赞一个，必须喜欢的。
屏幕音效：屏幕分辨率，设计还算合理，不错。
拍照效果：拍照效果很强大，很是不错。这个确实和可口可乐合作以后厉害了很多。
运行速度：运行速度还行，比我的老手机强大很多。
待机时间：待机时间一般，充电快。
其他特色：后置摄像头设计确实厉害。",j***e,5,3,2020-04-10 08:52:51,亮黑色,8GB+256GB
14024419122,"怀着小小激动的心情拿回来，打开外包装，华为40prc 的包装盒显示在了面前，厚重高大尚。撕开薄膜，拿出手机，手机身材很棒，简直太完美了，边边角角,第一时间对着办公电脑拍了- 张照片，功能太强大了，色彩太真了，跟眼睛看到-一样。 屏幕触摸反应太快了，很流畅。感谢华为!",王老二吖丶,5,3,2020-04-12 10:00:33,深海蓝,8GB+256GB
14013487237,"外形外观：很好看设计，手握刚好，满溢屏太舒服了。手感极佳
屏幕音效：屏幕清晰细腻。音效很好。清楚。
拍照效果：拍照一流，超大广角。分辨率很好。自拍自带美颜，有笑脸自动抓拍。像素很高。
运行速度：速度很快，无压力运行。8+256非常给力。
待机时间：目前感觉良好。手感太棒了。
总体不错。就是小贵。支持国货
其他特色：设计外观更好，国货精品",仔***1,5,6,2020-04-09 12:14:42,深海蓝,8GB+256GB
14017656379,"外形外观：外观很漂亮，我个人特被喜欢。零度白的后盖真的好看，棒。
屏幕音效：画面清晰，显示效果相当好。
拍照效果：拍照效果?，拍一些美食的图片感觉特别棒。
运行速度：本人不玩游戏，安装的软件较多，多开应用手机很流畅，无卡顿。
待机时间：由于是上午刚收到，还没使用太久。电池容量大，使用频率低，待机时间应该挺长的。
其他特色：手感，手感特别棒，单手操作没问题。",yu--er--,5,4,2020-04-10 13:37:53,零度白,8GB+512GB
14014877530,"3月30号就预约了p40 pro ,4月8日付了尾款，隔天就收到手机了，拿到手机立刻体验了照相功能，实在是太强大了！手感也相当棒！待机时间和运行游戏有待体验！曲面屏非常漂亮，华为身为国产大品牌品质值得信赖！！！
外形外观：非常漂亮不错！！！
运行速度：非常快",369辛苦了,5,13,2020-04-09 18:16:13,亮黑色,8GB+256GB
14014058328,"外形外观：比较酷炫
屏幕音效：好
拍照效果：好
运行速度：新机速度很快，不知道用久了会不会卡",阿藩达,5,1,2020-04-09 14:39:00,亮黑色,8GB+256GB
14017525399,"外形外观：p系列是非常适合单手握住的，大小非常合适
屏幕音效：效果很棒，音质高，没有杂音
拍照效果：莱卡加持，深度广度各种角度全方位满足需求
运行速度：非常的快速，响应迅捷
待机时间：还没有完整的尝试，但这容量应该不会差的
其他特色：颜色很耐看，也有点骚气，但是挺喜欢的",水***凉,5,2,2020-04-10 13:04:19,零度白,8GB+256GB
14029859071,"外形外观：货速度快，外观靓丽，大小刚好 
拍照效果：拍照一流，确实是国内手机的标杆
待机时间：充电速度快，而且手机不发热
运行速度：运行速度快，点应用秒开，不见延迟，游戏还没试，估计没问题
屏幕音效：听歌好爽
其他特色：正在煲机中，大爱，值得拥有，爱不释手，希望华为越来越强，也是国人的骄傲&hellip;&hellip;",j***7,5,3,2020-04-13 16:52:28,亮黑色,8GB+256GB
14018074002,第一次用华为！才知道国产机做的这么高端了。屏幕清晰 女生用也不大 流畅加惊艳！爱不释手。各种下载中,j***J,5,2,2020-04-10 15:26:01,零度白,8GB+256GB
14014008319,晚上已开卖就买了，京东物流确实很快，手机也很好，质感像素，操作反应速度都很好，总之很好,关小木1205,5,1,2020-04-09 14:25:45,零度白,8GB+256GB
14016997402,一直期待的华为p40pro ，提前预付100元定金，到8号果断付尾款，9号货就送到了，物流非常快，用了一天的感受，外观大气商务，特色摄像头区别于别的品牌，屏幕大小正好，声音大，信号非常好，拍照效果绝了，50倍超大广角数字变焦，压倒一切别的品牌拍照效果，运行速度非常快，非常流畅，充电速度很快，电池大，真的抗用，256g的内存价格有点小贵，但是绝对值了，永远支持国产华为,jd_139988kji,5,2,2020-04-10 10:55:32,亮黑色,8GB+256GB
14017824628,"外形外观：外观很漂亮
屏幕音效：手感很好
拍照效果：可以拍很清楚的月亮，图片是旧手机拍
运行速度：256的很快
待机时间：电池非常大",152*****539_p,5,14,2020-04-10 14:20:58,零度白,8GB+256GB
14015769372,"运行速度：太流畅了
拍照效果：夜景拍照亮度很高，很清晰
外形外观：全面屏还是好
其他特色：手机反应很快，用起来很爽。昨晚付款，京东物流今天就送到了，好评",粗枝大叶i,5,4,2020-04-09 22:12:54,零度白,8GB+256GB
14016685647,"从3月26日的发布会，再到4月8日的发布会，满心期待新手机！说实话1月份才开始使用华为手机，用了不到三个月的P30pro，已经彻底成为了花粉。自己从不玩手机游戏，对极致性能也没有什么体验，华为手机给我最大的感受就是方便，特别喜欢那些服务小功能，什么查个快递啥的，导航啥的，从来不用去点对应的APP。拍照当然就不用说了，尤其是专业模式，功能可调节参数简直可比单反，总之非常喜欢。这次P40系列发布，亮点多多，我最关注的还是5g和拍照，都算的上是业界最强！因此没什么可犹豫的，赶紧入手&hellip;&hellip;
手机这玩意没有十全十美，不同厂家的东西也都各有优点，大家根据自己的关注点来选择就OK，还是满足自己需求的才重要。",双***x,5,1,2020-04-10 09:39:06,亮黑色,8GB+256GB
