id,content,nickname,score,days,creationTime,productColor,productSize
14030865545,才刚，还不到一周，玻璃屏就花了！这质量&hellip;&hellip;,jd134303zel,1,5,2020-04-13 21:16:59,零度白,8GB+256GB
14025657558,屏幕音效：周冬雨排列，晨曦金 ，坚决拒绝！快递寄来连包装都包不好！申请换货维权,sharson,1,4,2020-04-12 15:17:17,晨曦金,8GB+128GB
14035251967,才用了几天，打王者会发烫，拍远景也没有想象中那么清晰，慎重购买,俞昕艺,1,19,2020-04-15 00:15:39,亮黑色,8GB+256GB
14034050505,"很一般 没有宣传的那么好 系统也一般 盒子简陋 不值那个价
这样的产品怎么让我支持国产 还这么贵",j***f,1,3,2020-04-14 18:20:37,亮黑色,8GB+256GB
14033807865,东西到的挺快，但是一检查，手机上有划痕，感觉好像让人用了一样，本来挺开心的，现在感觉自己像买了个二手手机。,xEkEGQlUPJSg,1,4,2020-04-14 17:15:02,零度白,8GB+256GB
14027453973,"运行速度：慢
外形外观：丑
屏幕音效：差
拍照效果：很普通
待机时间：不长
其他特色：特贵",智***1,1,10,2020-04-12 23:40:52,亮黑色,8GB+256GB
14021906493,三小时卡顿，nbnb,j***0,1,12,2020-04-11 15:29:19,亮黑色,8GB+256GB
14021403864,外形外观：表面好多坑，不知道是膜的问题还是屏幕的问题，去本地找实体店更换膜看看能不能弄好，弄不好就换新的。,yingying莹莹,1,12,2020-04-11 13:21:38,零度白,8GB+512GB
14024593040,京东配送速度真的不错，华为这款打孔屏手机真的是丑出天际，不知道华为的审美什么时候能够提升一下，前屏的打孔简直丑到家了！,yy妈咪yy,1,2,2020-04-12 10:43:39,亮黑色,8GB+256GB
14026945892,"外形外观：外观不错，手感也好
待机时间：双模5g续航尿崩
屏幕音效：喜提周冬雨
拍照效果：拍照还成",溜***士,1,16,2020-04-12 21:02:00,冰霜银,8GB+128GB
14024123052,"待机时间：续航很垃圾，一天两充，中午充完到晚上10点见图
拍照效果：还不错，但5倍很多时候画面抖得厉害
其他特色：不配这个价位，和iPhone11相比差距很大",jd_186116cpm,1,9,2020-04-12 08:27:16,深海蓝,8GB+256GB
14031418363,"好处：颜色不错（毕竟拿到配色比较好）
手感不错
中老年喜欢（大家懂就行）
坏处：孔有点大
相对价格有点高
以下是朋友补充的缺点：
充电速度较慢，干不过OPPO小米
6000块钱的手机还在用LPDDR4X（是这个吧，不是很懂见谅）
骁龙865大多配LPDDR5 感觉不值
欢迎大家补充，可以在这层讨论，请不要互撕。。。",啦_啦啦_啦,1,18,2020-04-14 00:31:03,冰霜银,8GB+256GB
14032521739,玩了把王者荣耀，发现屏幕两边有黑色竖条的拖影，应该是屏幕不太好！音响很普通，充电上看其他手机都是65w了，华为稍微落后。外观漂亮没的说，手感也很好，网速快，发热正常90ghz刷新没有一加流畅，浏览网页有点闪的感觉,冯诺伊曼小哥,1,6,2020-04-14 11:41:32,冰霜银,8GB+256GB
14029233276,"外形外观：很不错，颜值可以
屏幕音效：屏幕亮度感觉比不上小米10pro
拍照效果：拍照效果没的说，随手就是大片
运行速度：还行，但是偶尔也会卡一下，估计865会好点，追求速度去就是865
待机时间：还可以，用了一下感觉不差
差评的理由是:华为现在也是在耍猴了，支付了100定金，4月8号晚上发布会完了就付了全款，什么优惠都没有，就图第一时间到货，当时页面是显示10号到的，结果客服说要到18号才有货，催了无数次10号晚上才发货，11号晚上才到，体验实在太差了，耽误了本来定好的行程，没有现货你收个毛线的定金，由于现在收货晚了，估计晒单送的礼品也没有了，这个算在谁头上?希望华为不要店大欺客，花了7388支持国产，换来的是这种体验",桂电风云,1,8,2020-04-13 14:06:57,零度白,8GB+512GB
14019807723,"外形外观：挖空太恶心了，受不了啦
屏幕音效：太差了，还不如手机的小厂机型
拍照效果：拍照我觉得好假，，，
运行速度：一般，有卡顿现象
待机时间：续航还不错，华为的优良传统
其他特色：屏幕费眼睛，嗯，看了眼睛不舒服",B***8,1,1,2020-04-10 23:35:57,亮黑色,8GB+256GB
14025490271,超级差，客服垃圾,终于白首gwy,1,16,2020-04-12 14:31:07,深海蓝,8GB+256GB
14028866977,客服态度差，并且承诺给延时补贴和三个月只换不修服务，最后啥也没有。商家不可信，大家注意。,j***b,1,10,2020-04-13 12:35:44,亮黑色,8GB+128GB
14031476428,摄像头里面有异物，这品控也有点太让人失望了吧。,去看海啊,1,5,2020-04-14 02:02:11,深海蓝,8GB+256GB
14035549766,电池太垃圾，看了10分钟视频用了将近百分之十的电，装的是假电池吗,大叔的杀威棒,1,6,2020-04-15 07:47:55,深海蓝,8GB+256GB
14028858794,屏幕偏色严重,冰雪之缘2017,1,17,2020-04-13 12:33:29,零度白,8GB+128GB
14026780497,套路真深，预购价购买手机5999增值服务碎屏险299二年，现在购买5999碎屏险177二年套路太深,q***0,1,16,2020-04-12 20:19:12,亮黑色,8GB+128GB
14034036395,真的没法好评 朋友在**同期买的标配 送无线充电器和蓝牙三脚架 京东白嫖了赠品？？？？？千万别在京东买。,j***o,1,4,2020-04-14 18:16:51,零度白,8GB+256GB
14027095022,手机外观太难看了，特别长，一点也不协调,jd_158100phw,1,3,2020-04-12 21:40:51,亮黑色,8GB+256GB
14035366286,"待机时间：费电，是真废电，真不咋地，
屏幕音效：曲屏地方都看不到字
外形外观：不好看，太长",jd_186984odv,1,3,2020-04-15 04:09:44,亮黑色,8GB+128GB
14028505876,我一分钱天猫超市都牛奶都包裹的严严实实的，在你京东买个6500的手机你发个空盒子来？盒子都磕坏了，真的不开心，这服务不太行，懒得退货，算了。,东冬1997,1,5,2020-04-13 11:08:54,晨曦金,8GB+256GB
14027527051,??这就是二**东的东西 打开包装脏脏的 底部两道划痕 明显是别人退过的瑕疵机后封的包装?,j***d,1,2,2020-04-13 00:21:52,零度白,8GB+256GB
14032417990,咋说呢？我下单后就点了退款，但是京东无视了 把货物发到我这里了，但是又不给派送。我联系客服说不退款了，反正钱又没退，客服说不行啊，取消了就无法恢复，只能重新下单。我没办法啊只能确认收货来评论一波，规矩是死的，人是活的，不知道是客服混日子还是京东根本不在乎客户的感受，反正很失望。,jd_4074855a49818,1,18,2020-04-14 11:17:20,零度白,8GB+256GB
14035310555,这个前置摄像头和后置摄像头真的恶心，拍完照人的头部都是扭曲的，说真的没有我之前的7P拍照好看，我准备退货了,南***丨,1,6,2020-04-15 01:08:18,亮黑色,8GB+256GB
14019857123,手机没问题，但是我对京东的服务态度差评差评差评，预订手机也选了增值服务，付尾款的时候增值服务没有了，客服一会说预订是没有增值服务，一会说我没有订，然后就是抱歉了事！,阿胖林,1,13,2020-04-11 00:01:41,零度白,8GB+256GB
14019969207,买了2台，自己一台媳妇儿一台，但是还是差评，因为太贵，感觉被割韭菜了，不爽,thwen1996,1,2,2020-04-11 01:58:19,零度白,8GB+256GB
14036387365,这是买手机买过最差的的一次体验，让发顺丰客服一定不让，我买个手机还不能决定用啥快递吗   相机50倍聚焦半天聚不了  手稍微一抖镜头就晃   感觉还没同事的米10pro好,军販,1,4,2020-04-15 11:37:56,亮黑色,8GB+256GB
14029992785,4.8号下的单等了好几天好不容易到了，手机打开特别脏，外壳都坏了，客服不给处理，就赔付20京豆，老子不稀罕，太失望了,jd_135521mxu,1,4,2020-04-13 17:27:36,晨曦金,8GB+128GB
