id,content,nickname,score,days,creationTime,productColor,productSize
14027170850,满怀欣喜的拿到机子，各方面都不错，但是后盖和边框结合处摸上去有明显的割手感，略失望。听说磨砂后盖的都有这个情况。,jd_180985bnb,3,4,2020-04-12 22:01:34,冰霜银,8GB+128GB
14034745239,"其他特色：很特别！
待机时间：用了几天，发现都是一天一充，感觉上电池还可以，就是有些落后华为P30pro 
外形外观：第一次使用安卓手机，
拍照效果：50倍变焦抖动厉害。
运行速度：做了N久得果粉从4用到11，感觉上华为这款P40pro 可以吊打了。
屏幕音效：有些90hz有些耗电，单扬声器实在可惜。",jd_juhua_968,3,6,2020-04-14 21:23:43,深海蓝,8GB+256GB
14017976269,"性价比低，旧cpu, lpddr4X硬伤别解释。周冬雨和钻石排列混用，屏幕上滴几滴水就能鉴别排列。日后体验再评价系统。",老***7,3,2,2020-04-10 15:00:24,零度白,8GB+256GB
14030398975,"手感很舒服，做工没的说，孔位特别准确一点都没偏，超喜欢的，带上壳子之后按键还是很好按，而且还送了钢化膜，和壳子一起用正好完美保护手机，性价比较高，以后应该是离不开这家的手机壳了。强迫症患者表示超级无敌宇宙喜欢，棒棒哒！
东西收到啦！与图片描述一致，超级喜欢，卖家发货速度很快！服务也很到位，给老板点个赞，下次还会来购买.........现在我要开始好评啦,太开心啦,才知道评论的重要性。 
唯一的缺点就是手机太丑，aiguo税太高！",狗东凉凉,3,5,2020-04-13 19:17:44,晨曦金,8GB+128GB
14031310462,"外形外观：很惊艳，但没有视频和发布会那么惊艳，总体有落差但是能接受。前置摄像头确实胶囊，有点过分，需要调整屏幕顶端变黑才可以。
屏幕音效：非常优秀，比起苹果和我仍然坚挺的小米6，这个屏幕发声非常给力和清楚。但设备本身音效真的有待提高，都上6500价位了，线性马达和大音腔发声单元还舍不得上。
拍照效果：看图，近景有点糊，不知道为什么。长焦夜间对焦失灵。
运行速度：非常快，非常稳定，非常优秀，尤其撘配这块儿屏幕高刷新率，感觉非常舒服。
待机时间：稳如狗啊，重度使用，满电9点上班，下午6点下班，剩余电量在15 。比起iPhone一天四冲甚至当固定电话好多了！使用上，打把王者特效全开最高掉电8个，成绩很优秀！
其他特色：屏幕和后盖特别特别舒服，观感也很好。买不到银色的同学强烈推荐倍思那款半透明磨砂手机壳，黑色的直接给你怼出银灰高级感！",波波鱼爱吃菜,3,3,2020-04-13 23:29:54,亮黑色,8GB+256GB
14017539107,其他特色：当我打开包装的屏幕上都是灰尘,LC3087014760,3,1,2020-04-10 13:07:40,零度白,8GB+128GB
14023769168,打两把游戏手机就热得不行,j***6,3,4,2020-04-12 00:24:00,亮黑色,8GB+256GB
14039134382,苹果用户转华为，除了充电快点没有什么亮点了,jd_130630nie,2,7,2020-04-16 00:20:22,零度白,8GB+128GB
14019089964,用了以后才知道好不好，到时候再评论,弑醉龙颜,2,1,2020-04-10 20:01:31,亮黑色,8GB+256GB
14017858499,都预购了还不送点赠品，还不如去实体店买了，亏了。,w***a,3,14,2020-04-10 14:29:39,深海蓝,8GB+256GB
